,Pokemon,DPS,TDO,Battle_Stat,Max_CP_Lv40,Fast_Move,Charged_Move,#,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
196,Dartrix,9.792,210.3,197.5,1725,Razor Leaf,Brave Bird,,,,,,,,,,,,
197,Darumaka,10.168,133.3,140.1,1442,Fire Fang,Fire Punch,554.0,Fire,,315.0,70.0,90.0,45.0,15.0,45.0,50.0,5.0,False
198,Decidueye,12.763,345.4,718.1,2775,Razor Leaf,Brave Bird,,,,,,,,,,,,
199,Dedenne,11.067,208.3,282.3,1841,Thunder Shock,Play Rough,702.0,Electric,Fairy,431.0,67.0,58.0,57.0,81.0,67.0,101.0,6.0,False
200,Deerling,7.738,105.0,48.7,1135,Tackle,Seed Bomb,585.0,Normal,Grass,335.0,60.0,60.0,50.0,40.0,50.0,75.0,5.0,False
201,Deino,7.755,90.7,42.3,1062,Dragon Breath,Dragon Pulse,633.0,Dark,Dragon,300.0,52.0,65.0,50.0,45.0,50.0,38.0,5.0,False
202,Delcatty,8.058,148.5,77.7,1496,Feint Attack,Wild Charge,301.0,Normal,,380.0,70.0,65.0,65.0,55.0,55.0,70.0,3.0,False
203,Delibird,8.011,83.5,42.9,1094,Quick Attack,Ice Punch,225.0,Ice,Flying,330.0,45.0,55.0,45.0,65.0,45.0,75.0,2.0,False
204,Delphox,15.235,422.7,1495.0,3059,Fire Spin,Psychic,655.0,Fire,Psychic,534.0,75.0,69.0,72.0,114.0,100.0,104.0,6.0,False
205,Deoxys (Attack Forme),21.856,140.6,1468.2,2580,Zen Headbutt,Dark Pulse,386.0,Psychic,,600.0,50.0,180.0,20.0,180.0,20.0,150.0,3.0,True
206,Deoxys (Defense Forme),8.143,296.4,160.0,2274,Counter,Thunderbolt,386.0,Psychic,,600.0,50.0,70.0,160.0,70.0,160.0,90.0,3.0,True
207,Deoxys (Normal Forme),18.515,253.9,1611.6,3160,Zen Headbutt,Thunderbolt,386.0,Psychic,,600.0,50.0,150.0,50.0,150.0,50.0,150.0,3.0,True
208,Deoxys (Speed Forme),12.342,303.3,570.2,2879,Zen Headbutt,Thunderbolt,386.0,Psychic,,600.0,50.0,95.0,90.0,95.0,90.0,180.0,3.0,True
209,Dewgong,8.752,258.9,173.6,1985,Frost Breath,Blizzard,87.0,Water,Ice,475.0,90.0,70.0,80.0,70.0,95.0,70.0,1.0,False
210,Dewott,9.882,176.1,169.9,1741,Water Gun,Aqua Tail,502.0,Water,,413.0,75.0,75.0,60.0,83.0,60.0,60.0,5.0,False
211,Dewpider,4.974,59.7,7.3,714,Bug Bite,Bubble Beam,,,,,,,,,,,,
212,Dhelmise,16.137,406.3,1707.0,2950,Shadow Claw,Shadow Ball,,,,,,,,,,,,
213,Dialga,17.36,599.0,3134.1,4038,Metal Claw,Draco Meteor,483.0,Steel,Dragon,680.0,100.0,120.0,120.0,150.0,100.0,90.0,4.0,True
214,Diancie,11.836,374.6,621.1,2734,Rock Throw,Rock Slide,719.0,Rock,Fairy,600.0,50.0,100.0,150.0,100.0,150.0,50.0,6.0,True
215,Diggersby,7.753,194.8,90.8,1509,Quick Attack,Hyper Beam,660.0,Normal,Ground,423.0,85.0,56.0,77.0,50.0,77.0,78.0,6.0,False
216,Diglett,6.869,36.4,11.8,676,Mud Slap,Mud Bomb,50.0,Ground,,265.0,10.0,55.0,25.0,35.0,45.0,95.0,1.0,False
217,Ditto,1.513,16.6,0.1,832,Transform,Struggle,132.0,Normal,,288.0,48.0,48.0,48.0,48.0,48.0,48.0,1.0,False
218,Dodrio,13.716,250.8,647.2,2362,Steel Wing,Drill Peck,85.0,Normal,Flying,460.0,60.0,110.0,70.0,60.0,60.0,100.0,1.0,False
219,Doduo,11.022,94.5,126.5,1200,Quick Attack,Drill Peck,84.0,Normal,Flying,310.0,35.0,85.0,45.0,35.0,35.0,75.0,1.0,False
220,Donphan,13.255,408.4,951.2,3013,Mud Slap,Earthquake,232.0,Ground,,500.0,90.0,120.0,120.0,60.0,60.0,50.0,2.0,False
221,Dottler,6.413,116.4,30.7,1030,Confusion,Psychic,,,,,,,,,,,,
222,Doublade,10.698,275.6,337.5,2443,Fury Cutter,Iron Head,680.0,Steel,Ghost,448.0,59.0,110.0,150.0,45.0,49.0,35.0,6.0,False
223,Dracovish,10.699,329.7,403.8,2500,Dragon Breath,Dragon Pulse,,,,,,,,,,,,
224,Dracozolt,12.625,350.1,704.6,2621,Dragon Tail,Discharge,,,,,,,,,,,,
225,Dragalge,11.881,325.8,546.4,2383,Dragon Tail,Outrage,691.0,Poison,Dragon,494.0,65.0,75.0,90.0,97.0,123.0,44.0,6.0,False
226,Dragapult,18.433,518.3,3245.6,3532,Dragon Tail,Shadow Ball,,,,,,,,,,,,
227,Dragonair,10.327,183.8,202.5,1780,Dragon Breath,Return,148.0,Dragon,,420.0,61.0,84.0,65.0,70.0,70.0,70.0,1.0,False
228,Dragonite,17.229,570.5,2917.6,3792,Dragon Tail,Outrage,149.0,Dragon,Flying,600.0,91.0,134.0,95.0,100.0,100.0,80.0,1.0,False
229,Drakloak,12.121,185.7,330.8,1651,Dragon Tail,Shadow Ball,,,,,,,,,,,,
230,Drampa,15.057,375.9,1283.2,2914,Dragon Breath,Outrage,,,,,,,,,,,,
231,Drapion,11.96,336.8,576.1,2453,Bite,Sludge Bomb,452.0,Poison,Dark,500.0,70.0,90.0,110.0,60.0,75.0,95.0,4.0,False
232,Dratini,8.168,81.7,44.5,1004,Dragon Breath,Return,147.0,Dragon,,300.0,41.0,64.0,45.0,50.0,50.0,50.0,1.0,False
233,Drednaw,13.499,372.3,915.6,2838,Waterfall,Surf,,,,,,,,,,,,
234,Drifblim,13.258,352.0,820.2,2382,Hex,Shadow Ball,426.0,Ghost,Flying,498.0,150.0,80.0,44.0,90.0,54.0,80.0,4.0,False
235,Drifloon,9.1,133.2,100.4,1197,Hex,Shadow Ball,425.0,Ghost,Flying,348.0,90.0,50.0,34.0,60.0,44.0,70.0,4.0,False
236,Drilbur,10.184,120.1,126.9,1376,Mud Slap,Drill Run,529.0,Ground,,328.0,60.0,85.0,40.0,30.0,45.0,68.0,5.0,False
237,Drizzile,12.153,192.2,344.9,1894,Water Gun,Surf,,,,,,,,,,,,
238,Drowzee,6.627,118.0,34.3,1040,Confusion,Psychic,96.0,Psychic,,328.0,60.0,48.0,45.0,43.0,90.0,42.0,1.0,False
239,Druddigon,13.64,348.5,884.4,2732,Dragon Tail,Dragon Claw,621.0,Dragon,,485.0,77.0,120.0,90.0,60.0,90.0,48.0,5.0,False
240,Dubwool,9.723,274.5,252.3,2191,Tackle,Wild Charge,,,,,,,,,,,,
241,Ducklett,6.632,88.4,25.8,856,Water Gun,Brave Bird,580.0,Water,Flying,305.0,62.0,44.0,50.0,44.0,50.0,55.0,5.0,False
242,Dugtrio,10.034,132.5,133.8,1567,Mud Slap,Earthquake,51.0,Ground,,405.0,35.0,80.0,50.0,50.0,70.0,120.0,1.0,False
243,Dunsparce,7.594,180.9,79.2,1689,Bite,Rock Slide,206.0,Normal,,415.0,100.0,70.0,70.0,65.0,65.0,45.0,2.0,False
244,Duosion,12.586,183.5,365.7,2018,Zen Headbutt,Psyshock,578.0,Psychic,,370.0,65.0,40.0,50.0,125.0,60.0,30.0,5.0,False
245,Duraludon,15.058,390.8,1334.5,3067,Dragon Tail,Dragon Claw,,,,,,,,,,,,
246,Durant,12.918,302.1,651.2,2659,Bug Bite,X-Scissor,632.0,Bug,Steel,484.0,58.0,109.0,112.0,48.0,48.0,109.0,5.0,False
247,Dusclops,7.229,168.6,63.7,1591,Hex,Return,356.0,Ghost,,455.0,40.0,70.0,130.0,60.0,130.0,25.0,3.0,False
248,Dusknoir,11.959,319.3,546.1,2388,Hex,Shadow Ball,477.0,Ghost,,525.0,45.0,100.0,135.0,65.0,135.0,45.0,4.0,False
249,Duskull,4.609,56.6,5.5,706,Hex,Return,355.0,Ghost,,295.0,20.0,40.0,90.0,30.0,90.0,25.0,3.0,False
250,Dustox,6.689,139.7,41.8,1224,Struggle Bug,Sludge Bomb,269.0,Bug,Poison,385.0,60.0,50.0,70.0,50.0,90.0,65.0,3.0,False
251,Dwebble,7.621,115.0,50.9,1224,Smack Down,X-Scissor,557.0,Bug,Rock,325.0,50.0,65.0,85.0,35.0,35.0,55.0,5.0,False
252,Eelektrik,10.291,184.3,200.9,1715,Spark,Thunderbolt,603.0,Electric,,405.0,65.0,85.0,70.0,75.0,70.0,40.0,5.0,False
253,Eelektross,13.761,339.7,885.1,2732,Spark,Thunderbolt,604.0,Electric,,515.0,85.0,115.0,80.0,105.0,80.0,50.0,5.0,False
254,Eevee,7.626,109.9,48.7,1071,Quick Attack,Last Resort,133.0,Normal,,325.0,55.0,55.0,50.0,45.0,65.0,55.0,1.0,False
255,Eiscue (Ice Face),9.801,280.0,263.6,2065,Powder Snow,Weather Ball Ice,,,,,,,,,,,,
256,Eiscue (Noice Face),11.54,241.7,371.4,2040,Powder Snow,Weather Ball Ice,,,,,,,,,,,,
257,Ekans,7.967,78.0,39.4,927,Acid,Sludge Bomb,23.0,Poison,,288.0,35.0,60.0,44.0,40.0,54.0,55.0,1.0,False
258,Eldegoss,10.045,267.8,271.4,1995,Razor Leaf,Grass Knot,,,,,,,,,,,,
259,Electabuzz,12.646,270.3,546.6,2334,Thunder Shock,Thunderbolt,125.0,Electric,,490.0,65.0,83.0,57.0,95.0,85.0,105.0,1.0,False
260,Electivire,16.735,405.2,1898.8,3079,Thunder Shock,Wild Charge,466.0,Electric,,540.0,75.0,123.0,67.0,95.0,85.0,95.0,4.0,False
261,Electrike,8.523,74.3,46.0,965,Spark,Thunderbolt,309.0,Electric,,295.0,40.0,45.0,40.0,65.0,40.0,65.0,3.0,False
262,Electrode,11.045,245.0,330.1,2099,Spark,Thunderbolt,101.0,Electric,,480.0,60.0,50.0,70.0,80.0,80.0,140.0,1.0,False
263,Elekid,9.202,105.9,82.5,1206,Thunder Shock,Thunderbolt,239.0,Electric,,360.0,45.0,63.0,37.0,65.0,55.0,95.0,2.0,False
264,Elgyem,10.403,133.7,150.5,1385,Confusion,Psychic,605.0,Psychic,,335.0,55.0,55.0,55.0,85.0,55.0,30.0,5.0,False
265,Emboar,16.762,424.5,1999.4,2982,Low Kick,Blast Burn,500.0,Fire,Fighting,528.0,110.0,123.0,65.0,100.0,65.0,65.0,5.0,False
266,Emolga,10.459,165.9,189.9,1633,Thunder Shock,Thunderbolt,587.0,Electric,Flying,428.0,55.0,75.0,60.0,75.0,60.0,103.0,5.0,False
267,Empoleon,16.02,473.7,1947.8,2900,Metal Claw,Hydro Cannon,395.0,Water,Steel,530.0,84.0,86.0,88.0,111.0,101.0,60.0,4.0,False
268,Entei,15.873,545.0,2179.5,3473,Fire Fang,Overheat,244.0,Fire,,580.0,115.0,115.0,85.0,90.0,75.0,100.0,2.0,True
269,Escavalier,13.811,362.0,953.6,2889,Bug Bite,Megahorn,589.0,Bug,Steel,495.0,70.0,135.0,105.0,60.0,105.0,20.0,5.0,False
270,Espeon,16.965,398.2,1944.3,3170,Confusion,Psychic,196.0,Psychic,,525.0,65.0,65.0,60.0,130.0,95.0,110.0,2.0,False
271,Espurr,8.63,133.7,85.9,1259,Confusion,Psychic,677.0,Psychic,,355.0,62.0,48.0,54.0,63.0,60.0,68.0,6.0,False
272,Eternamax Eternatus,14.836,2500.2,8164.7,8187,Dragon Tail,Hyper Beam,,,,,,,,,,,,
273,Eternatus,16.713,679.4,3171.9,4429,Dragon Tail,Dragon Pulse,,,,,,,,,,,,
274,Excadrill,15.954,409.7,1663.8,3244,Mud Slap,Drill Run,530.0,Ground,Steel,508.0,110.0,135.0,60.0,50.0,65.0,88.0,5.0,False
275,Exeggcute,7.768,128.3,60.1,1175,Confusion,Psychic,102.0,Grass,Psychic,325.0,60.0,40.0,80.0,60.0,45.0,40.0,1.0,False
276,Exeggutor,15.598,410.1,1556.3,3014,Confusion,Psychic,103.0,Grass,Psychic,520.0,95.0,95.0,85.0,125.0,65.0,55.0,1.0,False
277,Exploud,11.295,294.3,424.0,2347,Bite,Return,295.0,Normal,,490.0,104.0,91.0,63.0,91.0,73.0,68.0,3.0,False
278,Falinks,12.483,285.3,554.8,2357,Counter,Superpower,,,,,,,,,,,,
279,Farfetch'd,7.918,111.4,55.3,1236,Cut,Leaf Blade,83.0,Normal,Flying,352.0,52.0,65.0,55.0,58.0,62.0,60.0,1.0,False
280,Fearow,12.36,226.0,426.6,1997,Peck,Sky Attack,22.0,Normal,Flying,442.0,65.0,90.0,65.0,61.0,61.0,100.0,1.0,False
281,Feebas,2.333,16.2,0.2,274,Tackle,Mirror Coat,349.0,Water,,200.0,20.0,15.0,20.0,10.0,55.0,80.0,3.0,False
282,Fennekin,7.489,82.1,34.5,1028,Scratch,Flamethrower,653.0,Fire,,307.0,40.0,45.0,40.0,62.0,60.0,60.0,6.0,False
283,Feraligatr,15.255,457.7,1624.9,2857,Water Gun,Hydro Cannon,160.0,Water,,530.0,85.0,105.0,100.0,79.0,83.0,78.0,2.0,False
284,Ferroseed,5.713,95.7,17.8,941,Metal Claw,Iron Head,597.0,Grass,Steel,305.0,44.0,50.0,91.0,24.0,86.0,10.0,5.0,False
285,Ferrothorn,11.047,354.0,477.1,2321,Metal Claw,Power Whip,598.0,Grass,Steel,489.0,74.0,94.0,131.0,54.0,116.0,20.0,5.0,False
286,Finneon,5.926,80.8,16.8,971,Water Gun,Ice Beam,456.0,Water,,330.0,49.0,49.0,56.0,49.0,61.0,66.0,4.0,False
287,Flaaffy,9.431,151.8,127.3,1521,Charge Beam,Thunderbolt,180.0,Electric,,365.0,70.0,55.0,55.0,80.0,60.0,45.0,2.0,False
288,Flapple,14.14,291.8,824.9,2466,Dragon Breath,Outrage,,,,,,,,,,,,
289,Flareon,15.724,376.8,1465.0,3029,Fire Spin,Overheat,136.0,Fire,,525.0,65.0,130.0,60.0,95.0,110.0,65.0,1.0,False
290,Fletchinder,8.598,129.0,82.0,1469,Steel Wing,Aerial Ace,662.0,Fire,Flying,382.0,62.0,73.0,55.0,56.0,52.0,84.0,6.0,False
291,Fletchling,6.228,58.7,14.2,800,Quick Attack,Aerial Ace,661.0,Normal,Flying,278.0,45.0,50.0,43.0,40.0,38.0,62.0,6.0,False
292,Floatzel,13.504,257.5,634.1,2443,Waterfall,Hydro Pump,419.0,Water,,495.0,85.0,105.0,55.0,85.0,50.0,115.0,4.0,False
293,Floette,8.979,164.5,119.1,1532,Vine Whip,Dazzling Gleam,670.0,Fairy,,371.0,54.0,45.0,47.0,75.0,98.0,52.0,6.0,False
294,Florges,11.813,426.8,703.5,3234,Vine Whip,Psychic,671.0,Fairy,,552.0,78.0,65.0,68.0,112.0,154.0,75.0,6.0,False
295,Flygon,13.445,350.0,850.6,2661,Dragon Tail,Earth Power,330.0,Ground,Dragon,520.0,80.0,100.0,80.0,80.0,80.0,100.0,3.0,False
296,Flying Pikachu,8.366,81.2,47.5,938,Thunder Shock,Wild Charge,,,,,,,,,,,,
297,Fomantis,8.014,59.3,30.5,741,Fury Cutter,Grass Knot,,,,,,,,,,,,
298,Foongus,7.267,98.9,37.9,979,Feint Attack,Grass Knot,590.0,Grass,Poison,294.0,69.0,55.0,45.0,55.0,55.0,15.0,5.0,False
299,Forretress,10.566,316.2,372.9,2282,Bug Bite,Heavy Slam,205.0,Bug,Steel,465.0,75.0,90.0,140.0,60.0,60.0,40.0,2.0,False
300,Fraxure,13.829,238.4,630.5,2234,Dragon Tail,Dragon Claw,611.0,Dragon,,410.0,66.0,117.0,70.0,40.0,50.0,67.0,5.0,False
301,Frillish,6.616,110.1,31.9,1257,Bubble,Ice Beam,592.0,Water,Ghost,335.0,55.0,40.0,50.0,65.0,85.0,40.0,5.0,False
302,Froakie,8.353,78.0,45.5,992,Pound,Surf,656.0,Water,,314.0,41.0,56.0,40.0,62.0,44.0,71.0,6.0,False
303,Frogadier,10.955,155.9,205.0,1636,Bubble,Surf,657.0,Water,,405.0,54.0,63.0,52.0,83.0,56.0,97.0,6.0,False
304,Froslass,11.885,254.5,427.3,2040,Hex,Shadow Ball,478.0,Ice,Ghost,480.0,70.0,80.0,70.0,80.0,70.0,110.0,4.0,False
305,Frosmoth,14.606,322.2,1004.2,2728,Bug Bite,Bug Buzz,,,,,,,,,,,,
306,Furfrou,9.693,239.9,218.5,2111,Bite,Grass Knot,676.0,Normal,,472.0,75.0,80.0,60.0,65.0,90.0,102.0,6.0,False
307,Furret,9.834,203.5,193.5,1758,Quick Attack,Hyper Beam,162.0,Normal,,415.0,85.0,76.0,64.0,45.0,55.0,90.0,2.0,False
308,Gabite,9.538,170.5,148.0,1874,Mud Shot,Dig,444.0,Dragon,Ground,410.0,68.0,90.0,65.0,50.0,55.0,82.0,4.0,False
309,Galarian Articuno,16.841,550.0,2627.2,3590,Psycho Cut,Brave Bird,,,,,,,,,,,,
310,Galarian Darmanitan,17.446,387.3,2056.5,3105,Ice Fang,Avalanche,,,,,,,,,,,,
311,Galarian Darmanitan (Zen Mode),21.009,499.0,4626.6,3905,Ice Fang,Avalanche,,,,,,,,,,,,
312,Galarian Darumaka,9.769,128.0,119.3,1442,Tackle,Ice Beam,,,,,,,,,,,,
313,Galarian Farfetch'd,10.625,148.4,178.0,1674,Fury Cutter,Brave Bird,,,,,,,,,,,,
314,Galarian Linoone,9.351,186.5,152.5,1662,Snarl,Grass Knot,,,,,,,,,,,,
315,Galarian Meowth,7.343,82.9,32.8,1035,Metal Claw,Gyro Ball,,,,,,,,,,,,
316,Galarian Moltres,13.803,523.1,1375.7,3167,Sucker Punch,Brave Bird,,,,,,,,,,,,
317,Galarian Mr. Mime,12.164,236.1,424.9,2068,Confusion,Psychic,,,,,,,,,,,,
318,Galarian Ponyta,9.912,148.5,144.6,1697,Psycho Cut,Play Rough,,,,,,,,,,,,
319,Galarian Rapidash,13.642,298.3,757.4,2461,Psycho Cut,Psychic,,,,,,,,,,,,
320,Galarian Slowbro,12.496,342.6,668.4,2445,Poison Jab,Psychic,,,,,,,,,,,,
321,Galarian Slowking,11.883,371.4,623.2,2717,Confusion,Future Sight,,,,,,,,,,,,
322,Galarian Slowpoke,8.17,142.2,77.6,1226,Confusion,Psychic,,,,,,,,,,,,
323,Galarian Stunfisk,9.544,314.2,273.2,2162,Metal Claw,Earthquake,,,,,,,,,,,,
324,Galarian Weezing,10.745,281.4,349.1,2293,Tackle,Play Rough,,,,,,,,,,,,
325,Galarian Yamask,4.986,70.7,8.8,982,Astonish,Night Shade,,,,,,,,,,,,
326,Galarian Zapdos,17.596,553.0,3013.0,3548,Counter,Brave Bird,,,,,,,,,,,,
327,Galarian Zigzagoon,4.571,39.5,3.8,508,Tackle,Body Slam,,,,,,,,,,,,
328,Gallade,15.452,414.4,1528.9,3093,Confusion,Psychic,475.0,Psychic,Fighting,518.0,68.0,125.0,65.0,65.0,115.0,80.0,4.0,False
329,Galvantula,13.028,241.8,534.6,2206,Fury Cutter,Bug Buzz,596.0,Bug,Electric,472.0,70.0,77.0,60.0,97.0,60.0,108.0,5.0,False
330,Garbodor,10.343,263.4,291.4,2345,Infestation,Gunk Shot,569.0,Poison,,474.0,80.0,95.0,82.0,60.0,82.0,75.0,5.0,False
331,Garchomp,17.19,630.3,3201.8,3962,Dragon Tail,Outrage,445.0,Dragon,Ground,600.0,108.0,130.0,95.0,80.0,85.0,102.0,4.0,False
332,Gardevoir,15.452,414.4,1528.9,3093,Confusion,Psychic,282.0,Psychic,Fairy,518.0,68.0,65.0,65.0,125.0,115.0,80.0,3.0,False
333,Gastly,13.064,87.0,193.9,1229,Lick,Sludge Bomb,92.0,Ghost,Poison,310.0,30.0,35.0,30.0,100.0,35.0,80.0,1.0,False
334,Gastrodon,11.276,320.2,459.1,2324,Mud Slap,Earth Power,423.0,Water,Ground,475.0,111.0,83.0,68.0,92.0,82.0,39.0,4.0,False
335,Genesect,15.353,430.9,1559.7,3353,Metal Claw,Magnet Bomb,649.0,Bug,Steel,600.0,71.0,120.0,95.0,120.0,95.0,99.0,5.0,False
336,Genesect - Burn Drive,15.353,430.9,1559.7,3353,Metal Claw,Magnet Bomb,,,,,,,,,,,,
337,Genesect - Chill Drive,15.353,430.9,1559.7,3353,Metal Claw,Magnet Bomb,,,,,,,,,,,,
338,Genesect - Douse Drive,15.353,430.9,1559.7,3353,Metal Claw,Magnet Bomb,,,,,,,,,,,,
339,Genesect - Shock Drive,15.353,430.9,1559.7,3353,Metal Claw,Magnet Bomb,,,,,,,,,,,,
340,Gengar,18.109,350.4,2080.9,2878,Lick,Shadow Ball,94.0,Ghost,Poison,500.0,60.0,65.0,60.0,130.0,75.0,110.0,1.0,False
341,Geodude,8.816,121.4,83.2,1293,Rock Throw,Rock Slide,74.0,Rock,Ground,300.0,40.0,80.0,100.0,30.0,30.0,20.0,1.0,False
342,Gible,7.346,83.8,33.2,1112,Mud Shot,Dig,443.0,Dragon,Ground,300.0,58.0,70.0,45.0,40.0,45.0,42.0,4.0,False
343,Gigalith,15.146,483.6,1680.4,3228,Smack Down,Meteor Beam,526.0,Rock,,515.0,85.0,135.0,130.0,60.0,80.0,25.0,5.0,False
344,Girafarig,12.409,238.3,455.5,2046,Confusion,Psychic,203.0,Normal,Psychic,455.0,70.0,80.0,65.0,90.0,65.0,85.0,2.0,False
345,Giratina (Altered Forme),13.885,691.5,1851.3,3379,Shadow Claw,Shadow Force,487.0,Ghost,Dragon,680.0,150.0,100.0,120.0,100.0,120.0,90.0,4.0,True
346,Giratina (Origin Forme),16.498,691.5,3104.9,3683,Shadow Claw,Shadow Force,487.0,Ghost,Dragon,680.0,150.0,120.0,100.0,120.0,100.0,90.0,4.0,True
347,Glaceon,15.075,409.7,1403.4,3126,Frost Breath,Avalanche,471.0,Ice,,525.0,65.0,60.0,110.0,130.0,95.0,65.0,4.0,False
348,Glalie,10.895,274.3,354.8,2105,Frost Breath,Avalanche,362.0,Ice,,480.0,80.0,80.0,80.0,80.0,80.0,80.0,3.0,False
349,Glameow,7.302,73.7,28.7,934,Scratch,Play Rough,431.0,Normal,,310.0,49.0,55.0,42.0,42.0,37.0,85.0,4.0,False
350,Glastrier,15.044,596.3,2030.5,3895,Tackle,Avalanche,,,,,,,,,,,,
351,Gligar,8.694,213.7,140.5,1857,Wing Attack,Return,207.0,Ground,Flying,430.0,65.0,75.0,105.0,35.0,65.0,85.0,2.0,False
352,Gliscor,11.282,363.7,522.3,2692,Fury Cutter,Earthquake,472.0,Ground,Flying,510.0,75.0,95.0,125.0,45.0,75.0,95.0,4.0,False
353,Gloom,10.553,188.0,220.9,1681,Acid,Sludge Bomb,44.0,Grass,Poison,395.0,60.0,65.0,70.0,85.0,75.0,40.0,1.0,False
354,Gogoat,13.739,429.8,1114.7,2798,Vine Whip,Leaf Blade,673.0,Grass,,531.0,123.0,100.0,62.0,97.0,81.0,68.0,6.0,False
355,Golbat,10.068,225.9,230.6,1976,Wing Attack,Shadow Ball,42.0,Poison,Flying,455.0,75.0,80.0,70.0,65.0,75.0,90.0,1.0,False
356,Goldeen,7.373,91.5,36.7,1152,Mud Shot,Aqua Tail,118.0,Water,,320.0,45.0,67.0,60.0,35.0,50.0,63.0,1.0,False
357,Golduck,11.643,293.2,462.8,2450,Water Gun,Hydro Pump,55.0,Water,,500.0,80.0,82.0,78.0,95.0,80.0,85.0,1.0,False
358,Golem,13.25,401.5,934.0,2949,Rock Throw,Earthquake,76.0,Rock,Ground,495.0,80.0,120.0,130.0,55.0,65.0,45.0,1.0,False
359,Golett,7.681,95.8,43.4,1189,Mud Slap,Shadow Punch,622.0,Ground,Ghost,303.0,59.0,74.0,50.0,35.0,50.0,35.0,5.0,False
360,Golisopod,12.737,417.5,862.7,3162,Waterfall,X-Scissor,,,,,,,,,,,,
361,Golurk,14.294,368.8,1077.2,2854,Mud Slap,Earth Power,623.0,Ground,Ghost,483.0,89.0,124.0,80.0,55.0,80.0,55.0,5.0,False
362,Goodra,13.974,553.3,1509.9,3505,Dragon Breath,Draco Meteor,706.0,Dragon,,600.0,90.0,100.0,70.0,110.0,150.0,80.0,6.0,False
363,Goomy,6.372,80.3,20.8,976,Water Gun,Dragon Pulse,704.0,Dragon,,300.0,45.0,50.0,35.0,55.0,75.0,40.0,6.0,False
364,Goomy,6.372,80.3,20.8,976,Tackle,Dragon Pulse,704.0,Dragon,,300.0,45.0,50.0,35.0,55.0,75.0,40.0,6.0,False
365,Gorebyss,12.062,261.5,458.8,2494,Water Gun,Psychic,368.0,Water,,485.0,55.0,84.0,105.0,114.0,75.0,52.0,3.0,False
366,Gossifleur,5.582,62.2,10.8,672,Razor Leaf,Grass Knot,,,,,,,,,,,,
367,Gothita,7.168,90.3,33.3,951,Confusion,Psychic,574.0,Psychic,,290.0,45.0,30.0,50.0,55.0,65.0,45.0,5.0,False
368,Gothitelle,11.755,335.6,545.1,2419,Confusion,Psychic,576.0,Psychic,,490.0,70.0,55.0,95.0,95.0,110.0,65.0,5.0,False
369,Gothorita,9.503,188.4,161.7,1604,Confusion,Psychic,575.0,Psychic,,390.0,60.0,45.0,70.0,75.0,85.0,55.0,5.0,False
370,Gourgeist - Average Size,11.866,334.2,558.3,2390,Hex,Shadow Ball,711.0,Ghost,Grass,494.0,65.0,90.0,122.0,58.0,75.0,84.0,6.0,False
371,Gourgeist - Large Size,12.181,366.2,661.8,2521,Hex,Shadow Ball,711.0,Ghost,Grass,494.0,75.0,95.0,122.0,58.0,75.0,69.0,6.0,False
372,Gourgeist - Small Size,11.552,302.0,465.6,2254,Hex,Shadow Ball,711.0,Ghost,Grass,494.0,55.0,85.0,122.0,58.0,75.0,99.0,6.0,False
373,Gourgeist - Super Size,12.428,395.0,758.1,2633,Hex,Shadow Ball,711.0,Ghost,Grass,494.0,85.0,100.0,122.0,58.0,75.0,54.0,6.0,False
374,Granbull,14.025,315.5,870.3,2552,Charm,Play Rough,210.0,Fairy,,450.0,90.0,120.0,75.0,60.0,60.0,45.0,2.0,False
375,Grapploct,12.405,312.4,596.4,2664,Rock Smash,Superpower,,,,,,,,,,,,
376,Graveler,10.629,212.6,255.2,1897,Rock Throw,Rock Slide,75.0,Rock,Ground,390.0,55.0,95.0,115.0,45.0,45.0,35.0,1.0,False
377,Greedent,9.785,319.3,299.1,2370,Tackle,Body Slam,,,,,,,,,,,,
378,Greninja,14.175,313.8,893.7,2654,Feint Attack,Surf,658.0,Water,Dark,530.0,72.0,95.0,67.0,103.0,71.0,122.0,6.0,False
379,Grimer,10.003,149.4,149.5,1374,Poison Jab,Sludge Bomb,88.0,Poison,,325.0,80.0,80.0,50.0,40.0,50.0,25.0,1.0,False
380,Grimmsnarl,14.994,370.2,1247.7,2850,Bite,Play Rough,,,,,,,,,,,,
381,Grookey,8.949,100.1,71.7,1086,Razor Leaf,Grass Knot,,,,,,,,,,,,
382,Grotle,10.28,220.9,240.0,1890,Razor Leaf,Solar Beam,388.0,Grass,,405.0,75.0,89.0,85.0,55.0,65.0,36.0,4.0,False
383,Groudon,15.382,570.7,2077.1,4115,Dragon Tail,Earthquake,383.0,Ground,,670.0,100.0,150.0,140.0,100.0,90.0,90.0,3.0,True
384,Grovyle,11.751,167.3,271.5,1673,Quick Attack,Grass Knot,253.0,Grass,,405.0,50.0,65.0,45.0,85.0,65.0,95.0,3.0,False
385,Growlithe,8.704,105.0,69.3,1243,Bite,Flamethrower,58.0,Fire,,350.0,55.0,70.0,45.0,70.0,50.0,60.0,1.0,False
386,Grubbin,7.898,80.6,39.7,984,Bug Bite,X-Scissor,,,,,,,,,,,,
387,Grumpig,11.49,331.8,503.4,2369,Extrasensory,Psychic,326.0,Psychic,,470.0,80.0,45.0,65.0,90.0,110.0,80.0,3.0,False
